best_fitness,runtime_ms,vector
76407.2,0,27.6638 -67.8357 -45.3523 -45.4147 -49.756 29.2612 24.973 -27.8548 -9.11149 -24.7031 28.4788 -40.6882 87.3861 -8.32047 14.7963 -87.3635 -18.9863 76.9368 -46.7912 89.1271 -16.3272 -72.3464 96.7279 -95.5576 -3.79667 24.2303 -21.9886 -34.9519 -18.8105 20.2823
58954.4,0,-42.1931 49.6918 1.30103 -65.0451 38.1331 -58.0077 66.7572 22.3515 -3.16577 41.5613 10.2118 2.7821 50.5215 -65.7158 16.9087 4.36448 29.9084 4.55833 7.37067 -60.4763 -54.886 -44.4727 18.5456 65.3271 19.207 -77.9028 -55.5117 72.585 17.8086 -48.3526
59633.5,0,-19.7464 -38.5347 -37.3727 25.249 -63.6753 0.837418 6.7862 32.8591 -32.9035 -30.0975 23.8176 -5.14384 -0.685272 17.5698 -0.149025 93.1494 43.3827 -66.6859 -22.64 -60.9295 73.3082 36.0745 -6.85407 82.0565 85.087 40.5494 -14.8395 -25.2556 62.108 -36.9581
70027.4,0,-86.2133 12.3883 -26.2294 -34.5718 -57.5932 -18.7525 -20.095 -6.94909 -91.2227 -25.173 -32.424 22.3468 -77.3597 -37.5842 -73.2017 -5.36987 -11.0655 -64.1684 81.0976 11.4286 -11.9666 -23.5074 -76.9674 1.84267 3.52336 61.8096 -69.4416 39.1535 -45.8882 -57.2937
70913.4,0,58.3534 -12.0024 50.7721 29.4398 -52.3449 -15.3197 26.65 -34.2832 39.2985 53.247 -61.7227 82.4406 28.0162 -41.5752 17.3113 -53.8917 -35.7592 -17.8829 -91.0901 20.2475 73.6875 74.1288 -40.9532 6.80593 54.4119 40.7802 -16.087 44.221 -18.14 90.7467
59348.8,0,49.6855 -21.4351 29.3685 51.4089 -15.2089 33.1585 -7.25568 15.2628 -79.5996 -99.3911 40.5623 9.60275 9.40105 87.1581 -29.6072 -43.6296 13.8595 -12.8772 -19.4991 -61.4227 -34.153 7.62153 83.8764 -9.80614 -45.4837 24.25 -53.526 -57.2068 -28.386 -20.3607
69042.5,2.2757,-2.00252 2.98916 -30.6117 82.9144 87.6866 -78.9001 -34.5117 24.9639 -80.257 -43.5509 -79.0304 -49.8784 41.1037 32.8763 -49.6854 23.7047 -99.822 14.089 -41.9356 33.2551 46.5736 3.6864 -16.6413 1.69241 18.9052 8.74532 53.4314 56.927 16.7181 17.8314
73550.7,0,24.7227 -12.151 -13.2476 48.401 17.2655 17.666 -23.8033 63.0008 38.3017 74.0356 -56.3647 7.56502 71.9404 -8.72414 91.7883 57.6601 96.3866 -16.6166 -93.146 64.2906 -13.1962 50.2413 -3.37957 10.6509 69.5758 34.5934 37.0546 43.2978 23.3448 -53.9873
57654.9,0,-33.3592 87.8292 -6.48512 -21.869 42.2883 -35.8465 1.80486 59.9514 46.5057 10.5175 -90.8215 -38.0045 -46.215 -91.9934 -2.76939 26.2942 23.4202 -11.8127 -13.4744 -14.514 -60.8278 -3.70486 24.0649 -47.9781 -41.2419 48.734 45.9487 -38.9228 54.735 -0.0458984
3.03948e+010,0,-55.8873 68.5974 -12.6318 9.06192 87.6805 31.9423 4.51846 20.3031 -26.6552 64.2894 11.4774 45.1879 65.0082 53.1725 -65.8833 -78.2733 32.3012 43.8469 62.9827 3.57766 21.4602 33.333 -89.106 -34.7473 -5.92861 58.3553 51.8363 -33.3848 36.7213 -85.7984
3.39202e+010,0,-5.72768 -37.8558 -57.859 18.355 80.3471 -26.0638 -58.8854 72.1077 -91.1273 33.22 26.602 -9.26308 51.9724 89.0403 11.0909 -33.1142 -71.9163 71.6961 20.7685 7.89032 -19.3129 -45.6276 -28.3801 -21.0981 10.4686 3.09821 -81.069 38.2798 0.684273 63.3408
2.90367e+010,0,-62.1422 -30 -25.9322 12.4997 11.3932 -27.4593 -74.4836 57.8427 34.1026 47.8548 3.87768 6.32407 63.8789 53.3847 -16.0716 -32.1356 -96.024 -49.2782 46.7951 56.3816 37.7276 37.7644 45.6199 -8.21632 93.3464 -4.46857 -45.6611 48.1274 19.3282 -53.8137
